All Transactions Announced Date,Target/Issuer,Transaction Status,"Total Transaction Value ($USDmm, Historical rate)",Buyers/Investors,Sellers,CIQ Transaction ID,Percent Sought (%),Transaction Comments,"Implied Enterprise Value ($USDmm, Historical rate)","Target/Issuer LTM Financials - Total Revenue (at Announcement) ($USDmm, Historical rate)","Target/Issuer LTM Financials - Net Income (at Announcement) ($USDmm, Historical rate)","Acquirer LTM Financials - Total Revenue (at Announcement) ($USDmm, Historical rate)","Acquirer LTM Financials - Net Income (at Announcement) ($USDmm, Historical rate)",Consideration Offered,Target Security Types,Deal Resolution,Accounting Method,Deal Attitude,State/Region From Primary Address [Target/Issuer]
1/24/2012,Memorial Hospital,Closed,-,"Community Health Systems, Inc. (NYSE:CYH)",South Broward Hospital District,IQTR154084104,100,"Community Health Systems, Inc. (NYSE: CYH) executed a definitive agreement to acquire substantially all of the assets of Memorial Health from South Broward Hospital District on January 24, 2012. The agreement includes a commitment to construct a replacement hospital within five years of the closing date. The transaction is subject to customary federal and state regulatory approvals, including review and approval by the Attorney General of the Commonwealth of Pennsylvania. The proceeds from the transaction will benefit the community and will be governed by members of the current Board of Directors of the Memorial Health. The transaction is expected to close later in 2012.",-,-,-,11906.21,260.22,Cash,Asset,"Community Health Systems, Inc. (NYSE: CYH) completed the acquisition of substantially all of the assets of Memorial Health from South Broward Hospital District on July 2, 2012.",Purchase Acquisition,Friendly,Pennsylvania
1/4/2012,"Thomas Road Senior Housing, Inc.",Closed,3.22,"The Ensign Group, Inc. (NasdaqGS:ENSG)",-,IQTR145571033,100,"The Ensign Group, Inc. (NasdaqGS: ENSG) acquired Rose Court Senior Living for $3.2 million in cash on December 30, 2011.",3.22,-,-,758.28,47.68,Cash,Common Equity,"The Ensign Group, Inc. (NasdaqGS: ENSG) completed the acquisition of Rose Court Senior Living on December 30, 2011.",Purchase Acquisition,Friendly,Arizona
1/3/2012,Orem Rehabilitation & Nursing Center,Closed,-,"The Ensign Group, Inc. (NasdaqGS:ENSG)",-,IQTR145489706,100,"The Ensign Group, Inc. (NasdaqGS: ENSG) acquired the underlying real estate and other operating assets of Orem Rehabilitation & Nursing Center in cash on December 22, 2011. During the year ended December 31, 2011, Ensign purchased the underlying assets of five of its skilled nursing facilities in California, Utah and Idaho for an aggregate purchase price of $23.4 million, which was paid in cash.",-,-,-,758.28,47.68,Cash,Asset,"The Ensign Group, Inc. (NasdaqGS: ENSG) completed the acquisition of the underlying real estate and other operating assets of Orem Rehabilitation & Nursing Center on December 22, 2011.",Purchase Acquisition,Friendly,Utah
12/12/2011,"MSMC Investors, LLC",Closed,50.5,"Community Health Systems, Inc. (NYSE:CYH)","Falcon Investors LLC; Transition Healthcare Company, LLC",IQTR144419290,100,"Community Health Systems, Inc. (NYSE: CYH) executed a definitive agreement to acquire substantially all assets of MSMC Investors, LLC from Falcon Investors LLC and Transition Healthcare Company LLC on December 12, 2011. The transaction is subject to regulatory approvals. The transaction is expected to be finalized in the first quarter of 2012. Houlihan Lokey acted as financial advisor to MSMC.",50.5,-,-,12150.53,291.75,Cash,Asset,"Community Health Systems, Inc. (NYSE: CYH) completed the acquisition of substantially all assets of MSMC Investors, LLC from Falcon Investors LLC and Transition Healthcare Company LLC for $50.5 million on March 1, 2012. The total cash consideration was $39.3 million with additional consideration of $12.1 million assumed in liabilities, where $0.9 million was paid for working capital.",Purchase Acquisition,Friendly,Illinois
12/5/2011,Rosewood Rehabilitation Center,Closed,-,"The Ensign Group, Inc. (NasdaqGS:ENSG)",-,IQTR144074114,100,"The Ensign Group, Inc. (NasdaqGS:ENSG) acquired Rosewood Rehabilitation Center from Tom Morton and Linda Morton in cash on December 1, 2011. A subsidiary of Northern Pioneer Healthcare will operate the Rosewood Rehabilitation Center. The transaction and is expected to be operationally accretive to earnings in 2012.",-,-,-,738.37,48.99,Cash,Common Equity,"The Ensign Group, Inc. (NasdaqGS:ENSG) completed the acquisition of Rosewood Rehabilitation Center from Tom Morton and Linda Morton on December 1, 2011.",Purchase Acquisition,Friendly,Nevada
11/30/2011,"Williams Community Pharmacies, Three Stores",Closed,-,Walgreen Co. (NYSE:WAG),Williams Community Pharmacies,IQTR143906116,100,"Walgreen Co. (NYSE: WAG) acquired three stores from Williams Community Pharmacies on November 29, 2011.",-,-,-,72997,2688,Unknown,Asset,"Walgreen Co. (NYSE: WAG) completed the acquisition of three stores from Williams Community Pharmacies on November 29, 2011.",Purchase Acquisition,Friendly,Missouri
11/17/2011,Pocatello Care and Rehabilitation Center,Closed,-,"The Ensign Group, Inc. (NasdaqGS:ENSG)",-,IQTR143309931,100,"The Ensign Group, Inc. (NasdaqGS: ENSG) acquired real estate and other operating assets of Pocatello Care and Rehabilitation Center in cash on November 15, 2011. The purchase was made through an exercise of option to acquire Pocatello Care.",-,-,-,738.37,48.99,Cash,Asset,"The Ensign Group, Inc. (NasdaqGS: ENSG) completed the acquisition of real estate and other operating assets of Pocatello Care and Rehabilitation Center on November 15, 2011.",Purchase Acquisition,Friendly,Idaho
11/16/2011,"Roswell Regional Family Care, LLC",Cancelled,-,"Community Health Systems, Inc. (NYSE:CYH)",Physicians' Real Estate Development Ltd. Co.; New Mexico Surgical Hospital LLC,IQTR142966044,100,"Community Health Systems, Inc. (NYSE: CYH) signed a definitive agreement to acquire substantially all of the assets of Roswell Regional Hospital from New Mexico Surgical Hospital LLC and Physicians Real Estate Development Ltd. on November 16, 2011. The transaction is subject to closing conditions, including receipt of certain regulatory approvals. The transaction is expected to close during the first quarter of 2012.",-,-,-,12150.53,291.75,Unknown,Asset,"Community Health Systems, Inc. (NYSE: CYH) cancelled the acquisition of substantially all of the assets of Roswell Regional Hospital from New Mexico Surgical Hospital LLC and Physicians Real Estate Development Ltd. on January 11, 2012. The transaction got cancelled as the Federal Trade Commission advised that it would be continuing its review of the transaction, which would extend beyond the agreed upon timeframe for closing the transaction.",Purchase Acquisition,Friendly,New Mexico
8/23/2011,Ensign Whittier East LLC and Ensign Pleasanton LLC,Closed,-,"The Ensign Group, Inc. (NasdaqGS:ENSG)",-,IQTR139637291,100,"The Ensign Group, Inc. (Nasdaq: ENSG) acquired underlying real estate and operating assets of Whittier Hills Healthcare Center and Ukiah Healthcare Center, in cash, on August 23, 2011. Ensign exercised its purchase options on the two nursing facilities. Ensign has been operating the facilities since July 2000 and January 2002, respectively, under leases with an option to purchase.",-,-,-,706.68,47.28,Cash,Asset,"The Ensign Group, Inc. (Nasdaq: ENSG) completed the acquisition of underlying real estate and assets of Whittier Hills Healthcare Center and Ukiah Healthcare Center on August 23, 2011.",Purchase Acquisition,Friendly,California
8/23/2011,St. Luke's Warren Hospital,Cancelled,40,"Community Health Systems, Inc. (NYSE:CYH)",-,IQTR143107599,100,"Community Health Systems, Inc. (NYSE: CYH) made an offer to acquire the assets of Warren Regional hospital for $40 million on August 22, 2011. Community Health will invest an additional $30 million in Warren Regional hospital. The offer has been rejected by the Board of Warren Regional hospital on August 24, 2011.",40,-,-,11937.14,287.83,Cash,Asset,"Community Health Systems, Inc. (NYSE: CYH) cancelled the offer to acquire the assets of Warren Regional hospital on August 24, 2011.",Purchase Acquisition,Friendly,New Jersey
8/19/2011,"Morton Pharmacy, Assets of 12 Locations",Closed,-,Walgreen Co. (NYSE:WAG),Morton Long Term Care,IQTR139652272,100,"Walgreen Co. (NYSE: WAG) acquired assets of 12 of locations from Morton Pharmacy on August 19, 2011. 78 employees of Morton Pharmacy will join Walgreen. Morton family will retain its long-term care side of the business, which serves only residents in nursing homes and assisted living facilities. The sole Morton Pharmacy that will remain open is in Winneconne.",-,-,-,71087,2392,Unknown,Asset,"Walgreen Co. (NYSE: WAG) completed the acquisition of assets of 12 of locations from Morton Pharmacy on August 19, 2011.",Purchase Acquisition,Friendly,Wisconsin
8/3/2011,"Rainier Surgical, Inc. and Ortho-Medical Products, Inc.",Closed,-,"Hanger, Inc. (NYSE:HGR)","Andover Medical, Inc.",IQTR138837068,100,"Hanger Orthopedic Group Inc. (NYSE: HGR) acquired Rainier Surgical, Inc. and Ortho-Medical Products, Inc. from Andover Medical, Inc. (OTCPK: ADOV) on August 3, 2011. Hanger Orthopedic Group acquired five companies including these two for $16.2 million. The consideration was paid in cash, notes and some contingent consideration. The acquisitions were financed with internally generated cash flows and will be accretive to earnings. David Sanders, Jared Cook and Teri Champ of Foley & Lardner acted as legal advisor for Hanger Prosthetics and Davidoff Malito & Hutcher LLP acted as legal advisor for Andover Medical, Inc.",-,-,-,868.45,29.32,Unknown,Asset,"Hanger Orthopedic Group Inc. (NYSE: HGR) completed the acquisition of Rainier Surgical, Inc. and Ortho-Medical Products, Inc. from Andover Medical, Inc. (OTCPK: ADOV) on August 3, 2011.",Purchase Acquisition,Friendly,-
8/3/2011,"MK Prosthetic & Orthotic Services, Inc.",Closed,-,"Hanger, Inc. (NYSE:HGR)",-,IQTR138837542,100,"Hanger Orthopedic Group Inc. (NYSE: HGR) acquired MK Prosthetic & Orthotic Services, Inc. from Mark Kirchner on August 3, 2011. Hanger Orthopedic Group Inc made 5 acquisitions in near term including Team Post-Op, Inc., BioConcepts, Inc., US Orthotics & Prosthetics, Inc., MK Prosthetic & Orthotic Services, Inc, and Rainier Surgical Incorporated & Ortho-Medical Products, Inc. The acquisitions were financed with internally generated cash flows and will be accretive to earnings. David Sanders, Jared Cook and Teri Champ of Foley & Lardner acted as legal advisor for Hanger and Law Offices of R. David Fritsche acted as legal advisor for Mark Kirchner.",-,-,-,868.45,29.32,Cash,Common Equity,"Hanger Orthopedic Group Inc. (NYSE: HGR) completed the acquisition of MK Prosthetic & Orthotic Services, Inc. from Mark Kirchner on August 3, 2011.",Purchase Acquisition,Friendly,Texas
7/28/2011,"Tomball Texas Hospital Company, LLC",Closed,192,"Community Health Systems, Inc. (NYSE:CYH)",Tomball Hospital Authority,IQTR138531050,100,"Community Health Systems, Inc. (NYSE: CYH) executed a definitive agreement to acquire substantially all of the assets of Tomball Regional Medical Center from Tomball Hospital Authority on July 28, 2011. Tomball Regional Medical Center will become the 19th Community Health Systems, Inc. affiliated hospital in Texas. Active employees in good standing at the time the transaction closes will be hired into their same positions, at the same rate of pay and with their seniority recognized. The transaction is subject to customary regulatory approvals. Board of Directors of Tomball Hospital Authority has unanimously approved the sale. The deal is expected to be completed later this year. Sale proceeds will enable payment in full of all outstanding financial obligations of the Hospital Authority. Navigant Capital Advisors acted as financial advisor for Tomball Hospital Authority. Proskauer Rose LLP acted as legal advisor for Tomball Hospital Authority.",192,-,-,11937.14,287.83,Cash,Asset,"Community Health Systems, Inc. (NYSE: CYH) completed the acquisition of substantially all of the assets of Tomball Regional Medical Center from Tomball Hospital Authority for approximately $190 million on October 3, 2011. Community Health Systems also paid approximately $14.9 million for net working capital. In addition to the transaction purchase price, the purchase agreement includes commitments from CHS to make capital investments of at least $50 million over five years to enhance clinical programs and improve facilities and medical technology.",Purchase Acquisition,Friendly,Texas
7/19/2011,"Moses Taylor Health Care System, Inc.",Closed,152,"Community Health Systems, Inc. (NYSE:CYH)",-,IQTR137657343,100,"Community Health Systems, Inc. (NYSE: CYH) signed a definitive agreement to acquire substantially all of the assets of Moses Taylor Health Care System for approximately $150 million on July 19, 2011. The transaction is subject to customary federal and state regulatory approvals, including review and approval by the Attorney General of the Commonwealth of Pennsylvania.",152,-,-,11937.14,287.83,Cash,Asset,"Community Health Systems, Inc. (NYSE: CYH) completed the acquisition of substantially all of the assets of Moses Taylor Health Care System on January 3, 2012.",Purchase Acquisition,Friendly,Pennsylvania
7/1/2011,Tennova Healthcare,Closed,532.4,Health Management Associates Inc.,Mercy Health,IQTR136879869,100,"Health Management Associates Inc. (NYSE: HMA) signed an agreement to acquire the assets of Mercy Health Partners, Inc. from Catholic Healthcare Partners for approximately $530 million on June 30, 2011. The purchase consideration consists of certain adjustments for working capital and the assumption of certain long-term lease liabilities. For the year 2010, Mercy Health Partners reported net revenues of $600 million. The transaction is subject to governmental approvals, Vatican approvals, assignment of certain leases, other agreements as well as Canonical approvals and other conditions customary to closing.

As of September 1, 2011, the transaction was granted early clearance by Hart-Scott-Rodino Act. The transaction is expected to close before October 1, 2011. Bevin Newman of Jones Day acted as legal advisor for Catholic Health Partners, Inc. Ponder & Company acted as financial advisor to Mercy Health Partners and Catholic Healthcare Partners. Squire, Sanders & Dempsey LLP acted as legal advisor for Catholic Healthcare Partners.",532.4,600,-,4775.43,182.42,Cash,Asset,"Health Management Associates Inc. (NYSE: HMA) completed the acquisition of Mercy Health Partners, Inc. from Catholic Healthcare Partners for approximately $530 million on September 30, 2011. Health Management Associates entered into a credit agreement which consists of a $360 million term loan facility and a $150 million revolving credit facility. The credit agreement was entered into to facilitate the acquisition. Effective October 1, 2011, the former Mercy System is re-named ""Tennova Healthcare."" Tennova Healthcare physicians and health care professionals will join Health Management Associates.",Purchase Acquisition,Friendly,Tennessee
6/15/2011,HCA - HealthONE LLC,Closed,1450,"HCA Holdings, Inc. (NYSE:HCA)",The Colorado Health Foundation,IQTR134311196,40,"HCA Holdings, Inc. (NYSE: HCA) entered into a non-binding memorandum of understanding to acquire remaining 40% stake in HCA-HealthONE, LLC from The Colorado Health Foundation for $1.5 billion on June 15, 2011. On August 2, 2011, HCA entered into a definitive membership interest purchase agreement to acquire remaining 40% stake in HCA-HealthONE from The Colorado Health Foundation, Inc. HCA Holdings, Inc. intends to fund the purchase price at closing through amounts available under its revolving credit facility. The transaction, subject to regulatory review and the negotiation of a definitive agreement, is expected to close in the third quarter of 2011. HCA Holdings, Inc. does not anticipate it will have a material impact to its leverage ratio.

On October 3, 2011, HCA Holdings issued $500 million aggregate principal amount of 8.00% senior unsecured notes due 2018, the net proceeds of which will be used for general corporate purposes, which included funding a portion of the acquisition of the Colorado Health Foundation’s approximate 40% remaining ownership interest in the HCA-HealthONE LLC.

As of October 13, 2011, Colorado Attorney General John Suthers has approved the transaction with conditions. The conditions were; none of the hospitals will close in the next five years. In addition, the system's Board of community trustees, indigent-care policy and community-benefit program will continue for five more years beyond the 10 originally proposed. The Board of community trustees will continue for an additional five years beyond the 10 years laid out in the original proposed transaction. The $12 million initially earmarked for the community-benefit program will be compounded annually at the rate of increase in the Medicare reimbursement rate for 10 years and would not decrease even if the Medicare reimbursement rate does. The Office of the Attorney General will mediate any disputes that arise concerning the non-compete agreement prior to the filing of any litigation.

Monte Dube and Elizabeth Mills of Proskauer Rose LLP and Troy Eid of Greenberg Traurig acted as legal advisor to The Colorado Health Foundation.",3625,-,-,28461,1059,Cash,Common Equity,"HCA Holdings, Inc. (NYSE: HCA) completed the acquisition of remaining 40% stake in HCA-HealthONE, LLC from The Colorado Health Foundation on October 14, 2011.",Purchase Acquisition,Friendly,Colorado
6/6/2011,"Careage Management, LLC, Nine Skilled Nursing and Assisted Living Facilities",Closed,27.65,"The Ensign Group, Inc. (NasdaqGS:ENSG)","Careage Management, LLC",IQTR133851195,100,"The Ensign Group, Inc. (NasdaqGS: ENSG) agreed to acquire nine skilled nursing and assisted living facilities from Careage Management, LLC for $27.6 million in cash on June 6, 2011. Ann Myers and Dan Myers will remain on board with the incoming Ensign operators for an indefinite period to ensure a smooth transition. The acquisition is expected to close in July 2011. Ensign expects the Careage operations to be accretive to Ensign's consolidated earnings in 2011.",27.65,-,-,678.3,43.92,Cash,Asset,"The Ensign Group, Inc. (NasdaqGS: ENSG) completed the acquisition of nine skilled nursing and assisted living facilities from Careage Management, LLC on July 18, 2011.",Purchase Acquisition,Friendly,-
6/1/2011,Grand Court Las Vegas,Closed,-,"The Ensign Group, Inc. (NasdaqGS:ENSG)",-,IQTR133676395,100,"The Ensign Group, Inc. (NASDAQ: ENSG) acquired Grand Court Las Vegas from an unknown well-regarded long-term care company in cash on June 1, 2011. In the second quarter of 2011, Ensign Group acquired Grand Court Las Vegas and a home health and hospice operation in Utah for an aggregate purchase price of $8 million in two separate transactions. Operations in Grand Court Las Vegas are expected to be operationally accretive to earnings starting in 2011.",-,-,-,678.3,43.92,Cash,Asset,"The Ensign Group, Inc. (NASDAQ: ENSG) completed the acquisition of Grand Court Las Vegas from an unknown well-regarded long-term care company on June 1, 2011.",Purchase Acquisition,Friendly,Nevada
5/25/2011,"Super Fresh Food Markets, Inc., Three Stores in Woodlawn, Salisbury, and Glen Burnie",Cancelled,1.2,Walgreen Co. (NYSE:WAG),"Super Fresh Food Markets, Inc.",IQTR134646130,100,"Walgreen Co. (NYSE: WAG) entered into an asset purchase agreement to acquire three Stores in Woodlawn, Salisbury and Glen Burnie from Super Fresh Food Markets, Inc. for $1.2 million in cash on May 13, 2011. Walgreen has also assumed certain liabilities. Walgreen Co. may terminate the purchase agreements if the closing date does not occur within 90 days of execution of the purchase agreement. Termination fee of $0.16 million will be paid by Walgreen.

The deal is subject to the Hart-Scott-Rodino Act and bankruptcy court approval. James H.M. Sprayregen, Paul M. Basta, Ray C. Schrock, James J. Mazza and Howard Norber of Kirkland & Ellis LLP acted as legal advisors for Super Fresh Food Markets. Lazard Group LLC acted as financial advisor to The Great Atlantic & Pacific Tea Company Inc. As on June 15, 2011 the transaction was approved by bankruptcy court.",1.2,-,-,69915,2252,Cash,Asset,"Walgreen Co. (NYSE: WAG) cancelled the acquisition of three Stores in Woodlawn, Salisbury and Glen Burnie from Super Fresh Food Markets, Inc. on May 13, 2012.",Purchase Acquisition,Friendly,Maryland
5/3/2011,"Hackensack University Medical Center, Hospice Operations",Closed,4,Amedisys Inc. (NasdaqGS:AMED),Hackensack University Medical Center,IQTR131374657,100,"Amedisys Inc. (NasdaqGS:AMED) signed a definitive agreement to acquire hospice operations of Hackensack University Medical Center on May 3, 2011. Hospice of Hackensack had annual revenue of approximately $5 million in 2010. The transaction remains subject to customary closing conditions, including state regulatory approvals. It is not expected to add materially to Amedisys’ earnings in 2011.",4,5,-,1567.62,91.22,Cash,Asset,"Amedisys Inc. (NasdaqGS:AMED) completed the acquisition of hospice operations of Hackensack University Medical Center for $4 million on November 1, 2011. The purchase price was paid with cash on hand on the date of the transaction.",Purchase Acquisition,Friendly,-
4/28/2011,"The Carle Foundation, 10 Carle RxExpress Pharmacies",Effective,-,Walgreen Co. (NYSE:WAG),The Carle Foundation,IQTR130935834,100,"Walgreen Co. (NYSE:WAG) signed a definitive agreement to acquire 10 Carle RxExpress pharmacies from The Carle Foundation on April 27, 2011. Walgreens plans to continue operating six of the acquired pharmacies. Three other locations will close and prescription files and inventory will be transferred to nearby Walgreens pharmacies. The remaining location will be consolidated with one of the six pharmacies that will continue to operate. Walgreens has committed to hire a majority of the current Carle RxExpress employees. The Carle Foundation Board of Trustees approved the sale of substantially all of the assets of its retail pharmacy, Carle RxExpress, to Walgreen Co. Completion of the transaction is subject to certain conditions and is expected to close by July 2011. Stephen Mullin, Ejaz Elahi and Steven M. Dresner of Dresner Partners and IMAP, Inc. acted as financial advisors for The Carle Foundation.",-,-,-,69915,2252,Unknown,Asset,"Walgreen Co. (NYSE:WAG) completed the acquisition of 10 Carle RxExpress pharmacies from The Carle Foundation effective July 11, 2011.",Purchase Acquisition,Friendly,Illinois
4/20/2011,"Alliance Health Partners, LLC",Closed,38.8,Health Management Associates Inc.,-,IQTR130421839,95,"Health Management Associates Inc. (NYSE: HMA) signed a definitive agreement to acquire a controlling interest in Tri-Lakes Medical Center on April 20, 2011. Health Management Associates Inc. will take over management of the medical center. The transaction is expected to be completed by June 1, 2011.",40.84,-,-,4633.3,172.6,Cash,Common Equity,"Health Management Associates Inc. (NYSE: HMA) completed the acquisition of 95% stake in Tri-Lakes Medical Center for $38.8 million in cash on May 3, 2011. The acquisition was funded with cash on hand.",Purchase Acquisition,Friendly,Mississippi
4/18/2011,"Beacon Hospice, L.L.C.",Closed,126,Amedisys Inc. (NasdaqGS:AMED),"Halpern, Denny & Co.",IQTR130223480,100,"Amedisys Inc. (NasdaqGS: AMED) signed a definitive agreement to acquire Beacon Hospice, Inc. from Halpern, Denny & Co. and other shareholders for approximately $130 million on April 15, 2011. Beacon reported annualized revenue of $80 million in 2010. The transaction remains subject to customary closing conditions including regulatory approvals. The transaction is expected to close in May 2011 and is expected to add $0.05 to $0.07 to Amedisys’ earnings in 2011 excluding one-time transaction related costs.",126,80,-,1567.62,91.22,Cash,Common Equity,"Amedisys Inc. (NasdaqGS: AMED) completed the acquisition of Beacon Hospice, Inc. from Halpern, Denny & Co. and other shareholders on June 7, 2011. $8.2 million of the purchase price was placed in escrow for indemnification purposes and working capital price adjustments. The purchase price was paid with cash on hand on the date of the transaction.",Purchase Acquisition,Friendly,Massachusetts
4/6/2011,"LHCG XXV, LLC",Closed,-,"LHC Group, Inc. (NasdaqGS:LHCG)","HC Healthcare, Inc.",IQTR129584706,100,"LHC Group, Inc. (NasdaqGS: LHCG) acquired assets of Community Loving Care Hospice, L.L.C. from Hospice Complete, Inc. in cash on April 1, 2011. The financial terms of the transaction were not disclosed. For the year 2010, Community Loving Care Hospice, L.L.C had revenues of $3.5 million. Two agencies located in Wentzville and Bowling Green will continue to operate under the name of Community Loving Care Hospice.",-,3.5,-,643.54,44.83,Cash,Asset,"LHC Group, Inc. (NasdaqGS: LHCG) completed the acquisition of assets of Community Loving Care Hospice, L.L.C. from Hospice Complete, Inc. on April 1, 2011.",Purchase Acquisition,Friendly,Missouri
3/24/2011,"drugstore.com, inc.",Closed,435.89,Walgreen Co. (NYSE:WAG),"Amazon.com Inc. (NasdaqGS:AMZN); Kleiner Perkins Caufield & Byers; Samana Capital, L.P; T. Rowe Price Associates, Inc.; Discovery Group Holding Company, LLC",IQTR128935897,100,"Walgreen Co. (NYSE: WAG) signed a definitive merger agreement to acquire Drugstore.com Inc. (NasdaqGS: DSCM) from Ziff Asset Management, L.P., Discovery Group Holding Company, LLC, T. Rowe Price Associates, Inc., Amazon.com Inc., Kleiner, Perkins, Caufield & Byers and other investors for approximately $420 million in cash on March 23, 2011. Under the terms of agreement, Drugstore.com stockholders will receive $3.8 in cash for each share of stock and outstanding options. Walgreens will fund the acquisition with existing cash. Post closing, Drugstore.com will be a wholly-owned subsidiary of Walgreens. Drugstore.com will pay Walgreens a termination fee of $15.03 million. Post closing, Walgreens will maintain Drugstore.com’s corporate office in Bellevue, Washington. Walgreens will acquire the Drugstore.com website in addition to other websites operated by Drugstore.com Inc. Drugstore.com will maintain separate branding of its websites.

The transaction is subject to customary conditions, including satisfaction of regulatory requirements, HSR Act approval, appraisal rights and approval by Drugstore.com’s stockholders. The definitive agreement was unanimously approved by Walgreen Co. and Drugstore.com’s Board of Directors, and Drugstore.com’s board recommends that Drugstore stockholders vote in favor of the transaction. The transaction is not subject to any financing condition. The merger closing condition with respect to the expiration of the waiting period under the HSR Act has been satisfied on May 9, 2011. The transaction is expected to close by the end of June 2011. Walgreens anticipates the transaction to be dilutive to earnings per share in the fourth quarter of fiscal 2011 by approximately 3 cents due to transaction-related one-time costs. Walgreens intend to reinvest in the business, Walgreens further anticipates the transaction to be dilutive to earnings per share by 3 to 4 cents in fiscal 2012, and 1 to 2 cents in fiscal 2013.

Credit Suisse Securities (USA) LLC acted as the financial advisor, Chris Abbinante, Scott Williams, Sharp Sorensen, Stewart Shepherd, and Laura Leonard of Sidley Austin LLP and Steven Newborn, Steven Bernstein, Vadim Brusser and John Sipple, Jr. of Weil Gotshal & Manges LLP acted as the legal advisors for Walgreens. Allen & Company LLC and Sonenshine Partners LLC acted as the financial advisors, Patrick Schultheis, Brian Keyes, David Hoffmeister, Scott Sher, Parag Gheewala, Aaron Hendelman, Roger Stern, Laura Merritt, Douglas Clark, and Debra Summers of Wilson Sonsini Goodrich & Rosati acted as the legal advisor and Brinlea Johnson of The Blueshirt Group acted as the PR advisor for Drugstore.com. Innisfree M&A acted as the information agent for Drugstore.com and received a fee of $15,000. Allen & Co. received a fee of $4 million for its financial advisory services in connection with the merger, a portion of which was payable upon delivery of Allen & Co.’s opinion, and approximately $3 million of which is contingent upon consummation of the merger. Denise Cerasani of Dewey & LeBoeuf LLP acted as legal advisor for Allen & Company LLC.",402.36,456.51,-9.61,69915,2252,Cash,Common Equity; Rights / Warrants / Options,"Walgreen Co. (NYSE: WAG) completed the acquisition of Drugstore.com Inc. (NasdaqGS: DSCM) from Ziff Asset Management, L.P., Discovery Group Holding Company, LLC, T. Rowe Price Associates, Inc., Amazon.com Inc., Kleiner, Perkins, Caufield & Byers and other investors on June 3, 2011. On June 2, 2011, at a special meeting of stockholders, the stockholders of Drugstore.com adopted and approved the merger.",Purchase Acquisition,Friendly,Washington
3/22/2011,Five Medical Facility Pharmacies On The Campuses Of Yale New Haven Health System,Closed,-,Walgreen Co. (NYSE:WAG),-,IQTR128850658,100,Walgreen Co. (NYSE:WAG) acquired five medical facility pharmacies on the campuses of Yale New Haven Health System in Connecticut in February 2011.,-,-,-,69915,2252,Unknown,Asset,Walgreen Co. (NYSE:WAG) completed the acquisition of five medical facility pharmacies on the campuses of Yale New Haven Health System in Connecticut in February 2011.,Purchase Acquisition,Friendly,Connecticut
3/18/2011,The Lexington and Victoria Care Center,Closed,13.26,"The Ensign Group, Inc. (NasdaqGS:ENSG)",-,IQTR128773987,100,"The Ensign Group, Inc. (NasdaqGS: ENSG) acquired The Lexington and Victoria Care Center for $13.3 million in cash on March 18, 2011. The Lexington was acquired for $5.9 million and Victoria Care Center was acquired for $7.3 million. Ensign expects operations at The Lexington to be operationally accretive to earnings in 2011.",13.26,-,-,649.53,40.53,Cash,Asset,"The Ensign Group, Inc. (NasdaqGS: ENSG) completed the acquisition of The Lexington and Victoria Care Center on March 18, 2011.",Purchase Acquisition,Friendly,California
2/10/2011,Regional Hospital of Scranton,Closed,150,"Community Health Systems, Inc. (NYSE:CYH)",Mercy Health,IQTR126981783,100,"Community Health Systems, Inc. (NYSE: CYH) signed a definitive agreement to acquire substantially all of the assets of Mercy Health Partners, Inc. from Catholic Healthcare Partners for $150 million on February 10, 2011. The sale price will offset $214 million in liabilities that will be assumed including about $50 million to fund pensions. Jobs will remain intact and all active Mercy Health Partner employees in good standing will receive an offer of employment at the same rate of pay for the same positions. Because hospitals in other regions will continue to operate under the Mercy Health Partners brand, Catholic Health Partners will retain the trade names of the hospitals. Under the sales agreement, Community Health Systems has promised to invest at least $68 million in capital improvements at the facilities over the next five years. 

The transaction is subject to customary federal and state regulatory approvals, including review and approval by the Attorney General of the Commonwealth of Pennsylvania that will include review by both the Antitrust and Charitable Trust Sections. Lackawanna County judge approved the sale. The deal is expected to be finalized by June 2011. Toby Singer of Jones Day and Squire, Sanders & Dempsey LLP acted as legal advisors for Catholic Health Partners.",150,-,-,11397.98,279.98,-,-,"Community Health Systems, Inc. (NYSE: CYH) completed the acquisition of substantially all of the assets of Mercy Health Partners, Inc. from Catholic Healthcare Partners on May 2, 2011.",Purchase Acquisition,Friendly,Pennsylvania
1/2/2011,"Hospice Complete, Inc., Certain Assets",Closed,-,"LHC Group, Inc. (NasdaqGS:LHCG)","HC Healthcare, Inc.",IQTR117792458,100,"LHC Group, Inc. (NasdaqGS: LHCG) acquired certain assets from Hospice Complete, Inc. on January 1, 2011. Following the acquisition, LHC Group will operate Hospice agencies located in Trussville, Jasper, Anniston/Oxford and Tuscaloosa and these agencies will continue to operate under the name of Hospice Complete.",-,-,-,627.42,48.8,Unknown,Asset,"LHC Group, Inc. (NasdaqGS: LHCG) completed the acquisition of certain assets from Hospice Complete, Inc. on January 1, 2011.",Purchase Acquisition,Friendly,-
